Accounts,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30
Revenue,13648.00000,13099.00000,12920.00000,19022.00000,14503.00000,16039.00000,16195.00000,19953.00000,16428.00000,17367.00000,17372.00000,20885.00000,17407.00000,18059.00000,16008.00000,21456.00000,20489.00000,19896.00000,18529.00000,24519.00000,20403.00000,23382.00000,23201.00000,26470.00000,21729.00000,22180.00000,20379.00000,23796.00000,20531.00000,26448.00000,21928.00000,25826.00000,23212.00000,25605.00000,24538.00000,28918.00000,26819.00000,30085.00000,29084.00000,32471.00000,30571.00000,33717.00000,33055.00000,36906.00000,35021.00000,38033.00000,37154.00000,43076.00000,41706.00000,46152.00000,45317.00000,51728.00000,49360.00000,51865.00000,50122.00000,52747.00000,52857.00000,56189.00000,56517.00000,62020.00000,61858.00000,64727.00000,65585.00000
Cost Of Goods Sold,2814.00000,2586.00000,2842.00000,3628.00000,2755.00000,3170.00000,3139.00000,4833.00000,3897.00000,3708.00000,3777.00000,5638.00000,3952.00000,4163.00000,4168.00000,5692.00000,4787.00000,5738.00000,5145.00000,8322.00000,5978.00000,7633.00000,8273.00000,10136.00000,7161.00000,7468.00000,7207.00000,9872.00000,7722.00000,7979.00000,7844.00000,9901.00000,8060.00000,8456.00000,8278.00000,11064.00000,9269.00000,9742.00000,9905.00000,12423.00000,10170.00000,10412.00000,10406.00000,12358.00000,10975.00000,12339.00000,11002.00000,14194.00000,13045.00000,13991.00000,13646.00000,16960.00000,15615.00000,16429.00000,15452.00000,17488.00000,16128.00000,16795.00000,16302.00000,19623.00000,18505.00000,19684.00000,20099.00000
Gross Profit,10834.00000,10513.00000,10078.00000,15394.00000,11748.00000,12869.00000,13056.00000,15120.00000,12531.00000,13659.00000,13595.00000,15247.00000,13455.00000,13896.00000,11840.00000,15764.00000,15702.00000,14158.00000,13384.00000,16197.00000,14425.00000,15749.00000,14928.00000,16334.00000,14568.00000,14712.00000,13172.00000,13924.00000,12809.00000,18469.00000,14084.00000,15925.00000,15152.00000,17149.00000,16260.00000,17854.00000,17550.00000,20343.00000,19179.00000,20048.00000,20401.00000,23305.00000,22649.00000,24548.00000,24046.00000,25694.00000,26152.00000,28882.00000,28661.00000,32161.00000,31671.00000,34768.00000,33745.00000,35436.00000,34670.00000,35259.00000,36729.00000,39394.00000,40215.00000,42397.00000,43353.00000,45043.00000,45486.00000
Research And Development Expenses,2212.00000,2225.00000,2065.00000,2079.00000,2220.00000,2350.00000,2196.00000,2185.00000,2269.00000,2393.00000,2329.00000,2371.00000,2517.00000,2594.00000,2460.00000,2528.00000,2640.00000,2783.00000,2767.00000,2748.00000,2743.00000,3123.00000,3065.00000,2903.00000,2984.00000,3094.00000,2962.00000,2900.00000,2980.00000,3146.00000,3106.00000,3062.00000,3355.00000,3514.00000,3574.00000,3504.00000,3715.00000,3933.00000,3977.00000,4070.00000,4316.00000,4513.00000,4565.00000,4603.00000,4887.00000,5214.00000,4926.00000,4899.00000,5204.00000,5687.00000,5599.00000,5758.00000,6306.00000,6849.00000,6628.00000,6844.00000,6984.00000,6739.00000,6659.00000,7142.00000,7653.00000,8056.00000,7544.00000
SG&A Expenses,4184.00000,4301.00000,3531.00000,4802.00000,4355.00000,4589.00000,3744.00000,4770.00000,4553.00000,5095.00000,4063.00000,4882.00000,4564.00000,4917.00000,4072.00000,5465.00000,5450.00000,5302.00000,4283.00000,5480.00000,4708.00000,6017.00000,4879.00000,5412.00000,4800.00000,5233.00000,4417.00000,4998.00000,4546.00000,5237.00000,4263.00000,4958.00000,5074.00000,5647.00000,4978.00000,5671.00000,5543.00000,6031.00000,5247.00000,5720.00000,5744.00000,6387.00000,5398.00000,6054.00000,6184.00000,7073.00000,5350.00000,6086.00000,6409.00000,7379.00000,5834.00000,6763.00000,7075.00000,8053.00000,6524.00000,8016.00000,7393.00000,8401.00000,6661.00000,8223.00000,8119.00000,9062.00000,7390.00000
Other Operating Income Or Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,6396.00000,6526.00000,5596.00000,6881.00000,6575.00000,6939.00000,5940.00000,6955.00000,6822.00000,7488.00000,6392.00000,7253.00000,7081.00000,13704.00000,6532.00000,7993.00000,8090.00000,8085.00000,7050.00000,8228.00000,7451.00000,9267.00000,9084.00000,8558.00000,7974.00000,16765.00000,7379.00000,7898.00000,7526.00000,9493.00000,7369.00000,8020.00000,8429.00000,9467.00000,8552.00000,9175.00000,9258.00000,9964.00000,9224.00000,9790.00000,10060.00000,10900.00000,9963.00000,10657.00000,11071.00000,12287.00000,10276.00000,10985.00000,11613.00000,13066.00000,11433.00000,12521.00000,13381.00000,14902.00000,13152.00000,14860.00000,14377.00000,15140.00000,13320.00000,15365.00000,15772.00000,17118.00000,14934.00000
Operating Income,4438.00000,3987.00000,4482.00000,8513.00000,5173.00000,5930.00000,7116.00000,8165.00000,5709.00000,6171.00000,7203.00000,7994.00000,6374.00000,192.00000,5308.00000,7771.00000,7612.00000,6073.00000,6334.00000,7969.00000,6974.00000,6482.00000,5844.00000,7776.00000,6594.00000,-2053.00000,5793.00000,6026.00000,5283.00000,8976.00000,6715.00000,7905.00000,6723.00000,7682.00000,7708.00000,8679.00000,8292.00000,10379.00000,9955.00000,10258.00000,10341.00000,12405.00000,12686.00000,13891.00000,12975.00000,13407.00000,15876.00000,17897.00000,17048.00000,19095.00000,20238.00000,22247.00000,20364.00000,20534.00000,21518.00000,20399.00000,22352.00000,24254.00000,26895.00000,27032.00000,27581.00000,27925.00000,30552.00000
Total Non-Operating Income/Expense,-388.00000,155.00000,283.00000,370.00000,168.00000,94.00000,114.00000,332.00000,316.00000,148.00000,103.00000,245.00000,-11.00000,167.00000,226.00000,-1.00000,-9.00000,72.00000,74.00000,-91.00000,-17.00000,95.00000,52.00000,74.00000,-77.00000,297.00000,-280.00000,-171.00000,-247.00000,259.00000,112.00000,117.00000,371.00000,276.00000,276.00000,490.00000,349.00000,301.00000,266.00000,127.00000,145.00000,191.00000,,194.00000,-132.00000,15.00000,248.00000,440.00000,188.00000,310.00000,286.00000,268.00000,-174.00000,-47.00000,54.00000,-60.00000,321.00000,473.00000,389.00000,-506.00000,-854.00000,-675.00000,-283.00000
Pre-Tax Income,4050.00000,4142.00000,4765.00000,8883.00000,5341.00000,6024.00000,7230.00000,8497.00000,6025.00000,6319.00000,7306.00000,8239.00000,6363.00000,359.00000,5534.00000,7770.00000,7603.00000,6145.00000,6408.00000,7878.00000,6957.00000,6577.00000,5896.00000,7850.00000,6517.00000,-1756.00000,5513.00000,5855.00000,5036.00000,9235.00000,6827.00000,8022.00000,7094.00000,7958.00000,7984.00000,9169.00000,8641.00000,10680.00000,10221.00000,10385.00000,10486.00000,12596.00000,12686.00000,14085.00000,12843.00000,13422.00000,16124.00000,18337.00000,17236.00000,19405.00000,20524.00000,22515.00000,20190.00000,20487.00000,21572.00000,20339.00000,22673.00000,24727.00000,27284.00000,26526.00000,26727.00000,27250.00000,30269.00000
Income Taxes,1073.00000,1097.00000,1191.00000,2221.00000,1335.00000,1506.00000,1820.00000,1863.00000,793.00000,445.00000,1568.00000,1615.00000,1255.00000,851.00000,1068.00000,1393.00000,1548.00000,1180.00000,1164.00000,1320.00000,1297.00000,1965.00000,1356.00000,1987.00000,1532.00000,1439.00000,611.00000,837.00000,1280.00000,2372.00000,1160.00000,1755.00000,1608.00000,-111.00000,1408.00000,15471.00000,1217.00000,1807.00000,1397.00000,1965.00000,1677.00000,-591.00000,2008.00000,2436.00000,2091.00000,2220.00000,2231.00000,2874.00000,1779.00000,2947.00000,19.00000,3750.00000,3462.00000,3747.00000,4016.00000,3914.00000,4374.00000,4646.00000,4993.00000,4656.00000,4788.00000,5214.00000,5602.00000
Income After Taxes,2977.00000,3045.00000,3574.00000,6662.00000,4006.00000,4518.00000,5410.00000,6634.00000,5232.00000,5874.00000,5738.00000,6624.00000,5108.00000,-492.00000,4466.00000,6377.00000,6055.00000,4965.00000,5244.00000,6558.00000,5660.00000,4612.00000,4540.00000,5863.00000,4985.00000,-3195.00000,4902.00000,5018.00000,3756.00000,6863.00000,5667.00000,6267.00000,5486.00000,8069.00000,6576.00000,-6302.00000,7424.00000,8873.00000,8824.00000,8420.00000,8809.00000,13187.00000,10678.00000,11649.00000,10752.00000,11202.00000,13893.00000,15463.00000,15457.00000,16458.00000,20505.00000,18765.00000,16728.00000,16740.00000,17556.00000,16425.00000,18299.00000,20081.00000,22291.00000,21870.00000,21939.00000,22036.00000,24667.00000
Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income From Continuous Operations,2977.00000,3045.00000,3574.00000,6662.00000,4006.00000,4518.00000,5410.00000,6634.00000,5232.00000,5874.00000,5738.00000,6624.00000,5108.00000,-492.00000,4466.00000,6377.00000,6055.00000,4965.00000,5244.00000,6558.00000,5660.00000,4612.00000,4540.00000,5863.00000,4985.00000,-3195.00000,4902.00000,5018.00000,3756.00000,6863.00000,5667.00000,6267.00000,5486.00000,8069.00000,6576.00000,-6302.00000,7424.00000,8873.00000,8824.00000,8420.00000,8809.00000,13187.00000,10678.00000,11649.00000,10752.00000,11202.00000,13893.00000,15463.00000,15457.00000,16458.00000,20505.00000,18765.00000,16728.00000,16740.00000,17556.00000,16425.00000,18299.00000,20081.00000,22291.00000,21870.00000,21939.00000,22036.00000,24667.00000
Income From Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,2977.00000,3045.00000,3574.00000,6662.00000,4006.00000,4518.00000,5410.00000,6634.00000,5232.00000,5874.00000,5738.00000,6624.00000,5108.00000,-492.00000,4466.00000,6377.00000,6055.00000,4965.00000,5244.00000,6558.00000,5660.00000,4612.00000,4540.00000,5863.00000,4985.00000,-3195.00000,4902.00000,5018.00000,3756.00000,6863.00000,5667.00000,6267.00000,5486.00000,8069.00000,6576.00000,-6302.00000,7424.00000,8873.00000,8824.00000,8420.00000,8809.00000,13187.00000,10678.00000,11649.00000,10752.00000,11202.00000,13893.00000,15463.00000,15457.00000,16458.00000,20505.00000,18765.00000,16728.00000,16740.00000,17556.00000,16425.00000,18299.00000,20081.00000,22291.00000,21870.00000,21939.00000,22036.00000,24667.00000
EBITDA,5102.00000,4668.00000,5128.00000,9128.00000,5867.00000,6648.00000,7810.00000,8828.00000,6429.00000,6860.00000,7929.00000,8672.00000,7140.00000,7182.00000,6018.00000,8780.00000,8665.00000,7056.00000,7288.00000,9230.00000,8229.00000,8224.00000,7272.00000,9297.00000,8109.00000,6938.00000,7254.00000,7570.00000,6990.00000,11516.00000,8531.00000,10071.00000,9176.00000,10025.00000,10207.00000,11215.00000,11002.00000,12895.00000,12792.00000,13253.00000,13267.00000,15329.00000,15657.00000,17094.00000,16093.00000,16911.00000,18521.00000,20658.00000,19984.00000,22439.00000,23450.00000,25743.00000,24137.00000,24513.00000,24308.00000,24047.00000,25901.00000,28128.00000,30816.00000,32991.00000,33608.00000,34305.00000,37935.00000
EBIT,4438.00000,3987.00000,4482.00000,8513.00000,5173.00000,5930.00000,7116.00000,8165.00000,5709.00000,6171.00000,7203.00000,7994.00000,6374.00000,192.00000,5308.00000,7771.00000,7612.00000,6073.00000,6334.00000,7969.00000,6974.00000,6482.00000,5844.00000,7776.00000,6594.00000,-2053.00000,5793.00000,6026.00000,5283.00000,8976.00000,6715.00000,7905.00000,6723.00000,7682.00000,7708.00000,8679.00000,8292.00000,10379.00000,9955.00000,10258.00000,10341.00000,12405.00000,12686.00000,13891.00000,12975.00000,13407.00000,15876.00000,17897.00000,17048.00000,19095.00000,20238.00000,22247.00000,20364.00000,20534.00000,21518.00000,20399.00000,22352.00000,24254.00000,26895.00000,27032.00000,27581.00000,27925.00000,30552.00000
Basic Shares Outstanding,8891.00000,8945.00000,8914.00000,8856.00000,8767.00000,8813.00000,8614.00000,8497.00000,8420.00000,8490.00000,8392.00000,8402.00000,8401.00000,8396.00000,8396.00000,8393.00000,8364.00000,8375.00000,8339.00000,8326.00000,8284.00000,8299.00000,8249.00000,8228.00000,8167.00000,8177.00000,7996.00000,7964.00000,7895.00000,7925.00000,7789.00000,7755.00000,7725.00000,7746.00000,7708.00000,7710.00000,7698.00000,7700.00000,7673.00000,7692.00000,7672.00000,7673.00000,7634.00000,7621.00000,7602.00000,7610.00000,7566.00000,7555.00000,7539.00000,7547.00000,7513.00000,7505.00000,7493.00000,7496.00000,7457.00000,7451.00000,7441.00000,7446.00000,7429.00000,7432.00000,7431.00000,7431.00000,7433.00000
